FTKEY,FTDESC
DG8412,"Twelfth (hypoglossal) cranial nerve, neuralgia"
DG8499,Other cranial nerve neuralgia
DG8510,"Upper radicular group (fifth and sixth cervicals), paralysis of"
DG8511,"Middle radicular group, paralysis of"
DG8512,"Lower radicular group, paralysis of"
DG8513,"All radicular groups, paralysis of"
DG8514,"The musculospiral nerve (radial nerve), paralysis of"
DG8515,"The median nerve, paralysis of"
DG8516,"The ulnar nerve, paralysis of"
DG8517,"Musculocutaneous nerve, paralysis of"
DG8518,"Circumflex nerve, paralysis of"
DG8519,"Long thoracic nerve, paralysis of"
DG8520,"Sciatic nerve, paralysis of"
DG8521,"External popliteal nerve (common peroneal), paralysis of"
DG8522,"Musculocutaneous nerve (superficial peroneal), paralysis of"
DG8523,"Anterior tibial nerve (deep peroneal), paralysis of"
DG8524,"Internal popliteal nerve (tibial), paralysis of"
DG8525,"Posterior tibial nerve, paralysis of"
DG8526,"Anterior crural nerve (femoral), paralysis of"
DG8527,"Internal saphenous nerve, paralysis of"
DG8528,"Obturator nerve, paralysis of"
DG8529,"External cutaneous nerve of thigh, paralysis of"
DG8530,"Ilio-inguinal nerve, paralysis of"
DG8540,Soft-tissue sarcoma (of neurogenic origin)
DG8599,Other peripheral nerve paralysis
DG8610,"Upper radicular group (fifth and sixth cervicals), neuritis"
DG8611,"Middle radicular group, neuritis"
DG8612,"Lower radicular group, neuritis"
DG8613,"All radicular groups, neuritis"
DG8614,"The musculospiral nerve (radial nerve), neuritis"
DG8615,"The median nerve, neuritis"
DG8616,"The ulnar nerve, neuritis"
DG8617,"Musculocutaneous nerve, neuritis"
DG8618,"Circumflex nerve, neuritis"
DG8619,"Long thoracic nerve, neuritis"
DG8620,"Sciatic nerve, neuritis"
DG8621,"External popliteal nerve (common peroneal), neuritis"
DG8622,"Musculocutaneous nerve (superficial peroneal), neuritis"
DG8623,"Anterior tibial nerve (deep peroneal), neuritis"
DG8624,"Internal popliteal nerve (tibial), neuritis"
DG8625,"Posterior tibial nerve, neuritis"
DG8626,"Anterior crural nerve (femoral), neuritis"
DG8627,"Internal saphenous nerve, neuritis"
DG8628,"Obturator nerve, neuritis"
DG8629,"External cutaneous nerve of thigh, neuritis"
DG8630,"Ilio-inguinal nerve, neuritis"
DG8699,Other peripheral nerve neuritis
DG8710,"Upper radicular group (fifth and sixth cervicals), neuralgia"
DG8711,"Middle radicular group, neuralgia"
DG8712,"Lower radicular group, neuralgia"
DG8713,"All radicular groups, neuralgia"
DG8714,"The musculospiral nerve (radial nerve), neuralgia"
DG8715,"The median nerve, neuralgia"
DG8716,"The ulnar nerve, neuralgia"
DG8717,"Musculocutaneous nerve, neuralgia"
DG8718,"Circumflex nerve, neuralgia"
DG8719,"Long thoracic nerve, neuralgia"
DG8720,"Sciatic nerve, neuralgia"
DG8721,"External popliteal nerve (common peroneal), neuralgia"
DG8722,"Musculocutaneous nerve (superficial peroneal), neuralgia"
DG8723,"Anterior tibial nerve (deep peroneal), neuralgia"
DG8724,"Internal popliteal nerve (tibial), neuralgia"
DG8725,"Posterior tibial nerve, neuralgia"
DG8726,"Anterior crural nerve (femoral), neuralgia"
DG8727,"Internal saphenous nerve, neuralgia"
DG8728,"Obturator nerve, neuralgia"
DG8729,"External cutaneous nerve of thigh, neuralgia"
DG8730,"Ilio-inguinal nerve, neuralgia"
DG8799,Other peripheral nerve neuralgia
DG8850,"Undiagnosed condition, musculoskeletal diseases"
DG8851,"Undiagnosed condition, amputations"
DG8852,"Undiagnosed condition, joints, skull, and ribs"
DG8853,"Undiagnosed condition, muscle injuries"
DG8860,"Undiagnosed condition, diseases of the eye"
DG8861,"Undiagnosed condition, hearing loss"
DG8862,"Undiagnosed condition, ear and other sense organs"
DG8863,"Undiagnosed condition, systemic diseases"
DG8865,"Undiagnosed condition, nose and throat"
DG8866,"Undiagnosed condition, trachea and bronchi"
DG8867,"Undiagnosed condition, tuberculosis"
DG8868,"Undiagnosed condition, lungs and pleura"
DG8870,"Undiagnosed condition, heart diseases"
DG8871,"Undiagnosed condition, arteries and veins"
DG8872,"Undiagnosed condition, upper digestive system"
DG8873,"Undiagnosed condition, lower digestive system"
DG8875,"Undiagnosed condition, genitourinary system"
DG8876,"Undiagnosed condition, gynecological system"
DG8877,"Undiagnosed condition, hemic and lymphatic system"
DG8878,"Undiagnosed condition, skin"
DG8879,"Undiagnosed condition, endocrine system"
DG8880,"Undiagnosed condition, central nervous system"
DG8881,"Undiagnosed condition, miscellaneous neurological"
DG8882,"Undiagnosed condition, cranial nerve paralysis"
DG8883,"Undiagnosed condition, cranial nerve neuritis"
DG8884,"Undiagnosed condition, cranial nerve neuralgia"
DG8885,"Undiagnosed condition, peripheral nerve paralysis"
DG8886,"Undiagnosed condition, peripheral nerve neuritis"
DG8887,"Undiagnosed condition, peripheral nerve neuralgia"
DG8889,"Undiagnosed condition, epilepsies"
DG8892,"Undiagnosed condition, psychotic disorders"
DG8893,"Undiagnosed condition, organic mental"
DG8894,"Undiagnosed condition, psychoneurotic"
DG8895,"Undiagnosed condition, psychophysiologic"
DG8899,"Undiagnosed condition, dental and oral"
DG8910,"Epilepsy, grand mal"
DG8911,"Epilepsy, petit mal"
DG8912,"Epilepsy, Jacksonian and focal motor or sensory"
DG8913,"Epilepsy, diencephalic"
DG8914,"Epilepsy, psychomotor"
DG8999,Other epilepsy
DG9201,"Schizophrenia, disorganized type"
DG9202,"Schizophrenia, catatonic type"
DG9203,"Schizophrenia, paranoid type"
DG9204,"Schizophrenia, undifferentiated type"
DG9205,"Schizophrenia, residual type; other and unspecified types"
DG9208,Delusional disorder
DG9210,"Psychotic disorder, not otherwise specified (atypical psychosis)"
DG9211,Schizoaffective disorder
DG9299,Other psychotic disorder
DG9300,Delirium
DG9301,Dementia due to infection (see code for list)
DG9304,Dementia due to head trauma
DG9305,Vascular dementia
DG9310,Dementia of unknown etiology
DG9312,Dementia of the Alzheimer's type
DG9326,"Dementia due to other neurologic or general medical conditions, or substance- induced"
DG9327,"Organic mental disorder, other (inc. personality change due to a general medical condition)"
DG9400,Generalized anxiety disorder
DG9403,Specific (simple) phobia; social phobia
DG9404,Obsessive compulsive disorder
DG9410,Other and unspecified neurosis
DG9411,Post-traumatic stress disorder
DG9412,Panic disorder and/or agoraphobia
DG9413,"Anxiety disorder, not otherwise specified"
DG9416,Dissociative amnesia; diss. fugue; diss. identity disorder (multiple personality disorder)
DG9417,Depersonalization disorder
DG9421,Somatization disorder
DG9422,Pain disorder
DG9423,Undifferentiated somatoform disorder
DG9424,Conversion disorder
DG9425,Hypochondriasis
DG9431,Cyclothymic disorder
DG9432,Bipolar disorder
DG9433,Dysthymic disorder
DG9434,Major depressive disorder
DG9435,"Mood disorder, not otherwise specified"
DG9440,Chronic adjustment disorder
DG9499,Other nonpsychotic emotional illness
DG9520,Anorexia nervosa
DG9521,Bulimia nervosa
DG9599,Other eating disorder
DG9900,"Maxilla or mandible, chronic osteomyelitis or osteoradionecrosis of"
DG9901,"Mandible, loss of, complete, between angles"
DG9902,"Mandible, loss of approximately one-half"
DG9903,"Mandible, nonunion of"
DG9904,"Mandible, malunion of"
DG9905,"Temporomandibular articulation, limited motion of"
DG9906,"Ramus, loss of whole or part of"
DG9907,"Ramus, loss of less than one-half the substance of"
DG9908,"Condyloid process, loss of, one or both sides"
DG9909,"Coronoid process, loss of"
DG9911,"Hard palate, loss of half or more"
DG9912,"Hard palate, loss of less than half of"
DG9913,"Teeth, loss of, due to loss of body of maxilla or mandible without loss of continuity"
DG9914,"Maxilla, loss of more than half"
DG9915,"Maxilla, loss of half or less"
DG9916,"Maxilla, malunion or nonunion of"
DG9999,Other dental or oral condition
