CLMANT_TXT,CNTNTN_CLSFCN_ID,SPECL_ISSUE_TYPE_CD,PERSON_SPECL_STATUS_TYPE_NM,
PERIPHERAL NEUROPATHY LOWER,9006,,,
(BL) HEARING LOSS,3140,,,
"RIGHT KNEE CONDITION,",8997,,,
LOSS OF TEETH,8967,,,
HERNIA SURGERY,8968,,,
BILATERAL KNEE COND,8997,,,
C-SPINE CONDITION,8999,,,
BI-LAT TINNITUS,3140,,,
"NECK,",8999,,,
TINNITUS FAST LETTER,3140,,,
STROKES,8926,,,
COLON POLYPS,8968,,,
PACEMAKER,8979,,,
RIGHT ANKLE INCREASE,8991,,,
CHRONIC KNEE PAIN,8997,,,
CHRONIC ALLERGIC RHINITIS,9012,,,
^SC LEFT KNEE,8997,,,
>TINNITUS,3140,,,
HEARING LOSS-BEGAN IN SERVICE,3140,,,
SC BILATERAL TINNITUS,3140,,,
OVARIAN CYST,8951,,,
LEFT LEG PAIN,8997,,,
PENSION,9008,,,
HEARING LOSS BEGAN IN SERVICE,3140,,,
INCREASE HEADACHES,9007,,,
LOWER BACK PROBLEM,8998,,,
FREQUENT HEADACHES,9007,,,
REACTIVE AIRWAY DISEASE,9012,,,
^SC RIGHT KNEE,8997,,,
HEAR LOSS,3140,,,
HEARING LOSS-NEW,3140,,,
TESTICULAR CANCER,8935,,,
DEPRESSION & ANXIETY,8989,,,
FEET CONDITION,8994,,,
BILATERAL SHOULDER CONDITIONS,9002,,,
"BILATERAL TINNITUS,",3140,,,
HEARING LOSS BILATERAL DUE TO ACOUSTIC TRAUMA,3140,,,
LOWER BACK (INCREASE),8998,,,
R HIP CONDITION,8996,,,
RIGHT LEG PAIN,8997,,,
SLEEP APNEA W CPAP,9012,,,
APPENDECTOMY,9016,,,
TINNITUS RINGING IN THE EARS,3140,,,
EYE,8974,,,
LEFT FOOT PLANTAR FASCIITIS,8994,,,
SINUSES,9012,,,
PSUEDOFOLLICULITIS BARBAE,9016,,,
KNEE RIGHT,8997,,,
MID BACK,8998,,,
LUNG PROBLEMS,9012,,,
"LEFT KNEE CONDITION,",8997,,,
"LEFT SHOULDER,",9002,,,
TBI INCREASE,9020,,,
TINNITUS DUE TO NOISE EXPOSURE,3140,,,
BILATERAL LOWER EXTREMITIES,9006,,,
LOSS OF HEARING - BILATERAL,3140,,,
LEFT HEARING LOSS,3140,,,
ARTHRITIS LEFT KNEE,8992,,,
INCREASE CERVICAL SPINE,8999,,,
ENLARGE PROSTATE,8975,,,
HIP INJURY,8996,,,
SINUS BRADYCARDIA,9012,,,
LEFT KNEE - INCREASE,8997,,,
"MENTAL HEALTH CONDITIONS,",8989,,,
"PROSTATE CANCER,",8935,,,
RIGHT KNEE CONDITION INITIAL,8997,,,
SKIN CANCERS,1250,,,
ANAL FISSURE,8968,,,
HEMMOROIDS,8968,,,
RECURRENT HEADACHES,9006,,,
SLEEP APNEA.,9012,,,
B PLANTAR FASCIITIS,8994,,,
REOPEN SLEEP APNEA,9012,,,
RIGHT KNEE - INCREASE,8997,,,
TINNITUS - BOTH EARS,3140,,,
TYPE II,8973,,,
ACID REFLUX DISEASE,8968,,,
IMPOTENCE,8975,,,
PSORIATIC ARTHRITIS,8992,,,
BIALTERAL KNEE CONDITION,8997,,,
KNEE REPLACEMENT,8997,,,
ALLERGIC RHINITUS,9012,,,
BILATERAL TINNITUS RELATED TO AT,3140,,,
HEARING IMPAIRMENT (ACOUSTIC,3140,,,
(B) TINNITUS,3140,,,
BILATERIAL HEARING LOSS,3140,,,
TINNITIUS,3140,,,
TINNITUS (BOTH EARS),3140,,,
ARTHRITIS RIGHT KNEE,8992,,,
BILATERAL HANDS,8995,,,
RIGHT THUMB CONDITION,8995,,,
LOWER BACK CONDITIONS,8998,,,
LEFT KNEE CONDITION INITIAL,8997,,,
LEFT INGUINAL HERNIA,8968,,,
RIGHT EAR,8969,,,
GALL BLADDER REMOVAL,8975,,,
HERPES SIMPLEX,8975,,,
HEART BURN,8979,,,
IRREGULAR HEARTBEAT,8979,,,
RE-OPEN BILATERAL HEARING LOSS,3140,,,
BILATERAL ARM CONDITION,9005,,,
BILATERAL HEARING LOSS-,3140,,,
HEARING LOSS (B),3140,,,
R ANKLE SPRAIN,8991,,,
TINNITUS INCREASE,3140,,,
CHRONIC LYMPHOCYTIC LEUKEMIA,8939,,,
FATTY LIVER,8968,,,
R WRIST,9004,,,
2) TINNITUS,3140,,,
"BACK PAIN,",8998,,,
"MIGRAINE HEADACHES,",9007,,,
GULF WAR ILLNESS,8976,,,
HAND,8995,,,
BACK PAIN LOWER,8998,,,
APNEA,9012,,,
INCREASE FOR RIGHT KNEE,8997,,,
HEARING LOSS IN SERVICE,3140,,,
NON HODGKINS LYMPHOMA,8939,,,
GASTROINTESTINAL DISORDER,8968,,,
DYSMENORRHEA,8978,,,
LEFT KNEE - SECONDARY TO RIGHT KNEE,8997,,,
CERVICAL SPINE STRAIN,8999,,,
SKIN,9016,,,
"COPD,",9012,,,
INCREASE MIGRAINE HEADACHES,9007,,,
S/C FOR BILATERAL HEARING LOSS,3140,,,
S/C BACK CONDITION,8998,,,
S/C FOR TINNITUS,3140,,,
BILATERAL RINGING IN EARS,3140,,,
HEARING LOSS (AT),3140,,,
ADJUSTMENT DISORDER WITH DEPRESSION,8989,,,
RIGHT KNEE INSTABILITY,8997,,,
INCREASE BILATERAL HEARING,3140,,,
PSYCHIATRIC/PSYCHOLOGICAL DIS-,8989,,,
TINNITUS (NEW CLAIM),3140,,,
HERNIA CONDITION,8968,,,
ARTERIOSCLEROTIC HEART DISEASE,8979,,,
LBP/LUMBAGO,8998,,,
RINGING IN MY EARS,3140,,,
BOTH HIPS,8996,,,
BILATERAL HEARING LOSS-REOPEN,3140,,,
RIGHT KNEE SERVICE CONNECTED,8997,,,
"HEARING LOSS, RIGHT EAR",3140,,,
STOMACH ISSUES,8968,,,
SLEEP DEPRIVATION,8989,,,
B/L KNEE PAIN,8997,,,
LEFT KNEE INSTABILITY,8997,,,
B SHIN SPLINTS,8997,,,
INCREASE GERD,8968,,,
INCREASE-BILATERAL HEARING LOSS,3140,,,
SC DEPRESSION,8989,,,
TINNITUS-ACOUSTIC TRAUMA,3140,,,
BACK CONDITION-INCREASE,8998,,,
BLURRY VISION,8974,,,
HEARING LOSS ACOUSTIC TRAUMA,3140,,,
FOOT INJURY,8994,,,
BILATERAL KNEE DISABILITY,8997,,,
BILATERAL KNEE STRAIN,8997,,,
BACK COND,8998,,,
LUMBOSACRAL OR CERVICAL STRAIN,8998,,,
R SHOULDER PAIN,9002,,,
ACNE VULGARIS,9016,,,
BL HEARING LOSS (ACOUSTIC TRAUMA),3140,,,
ENTITLEMENT TO SERVICE CONNECTION FOR TINNITUS,3140,,,
HEARING BOTH EARS,3140,,,
SEVERE HEARING LOSS,3140,,,
BLOOD CLOTS,8926,,,
NON-HODGKIN'S LYMPHOMA,8939,,,
SOFT TISSUE SARCOMA,8940,,,
NERVOUSNESS,8989,,,
L KNEE PAIN,8997,,,
HEADACHE CONDITION,9007,,,
SEVERE SLEEP APNEA,9012,,,
SMC,9017,,,
"ISCHEMIC HEART DISEASE,",8979,,,
SLEEPAPNEA,9012,,,
HEARING LOSS-,3140,,,
LEFT EAR TINNITUS,3140,,,
EDEMA,8925,,,
DUODENAL ULCER,8968,,,
R FOOT CONDITION,8994,,,
SLEEP APNEA SYNDROME,9012,,,
SNORING,9012,,,
HYPER TENSION,8979,,,
RIGHT KNEE-SECONDARY TO LEFT KNEE,8997,,,
AGORAPHOBIA,8989,,,
ENTITLEMENT TO SERVICE CONNECTION FOR 6100-HEARING LOSS.,3140,,,
SERVICE CONNECTION FOR BILATERAL HEARING LOSS,3140,,,
HEARING CONDITION,3140,,,
ED SECONDARY TO DIABETES,8975,,,
LEG,8997,,,
BILATERAL HEARINGL OSS,3140,,,
HEADACHES INCREASE,9007,,,
LEFT KNEE SERVICE CONNECTED,8997,,,
BILATERAL ANKLE CONDITIONS,8991,,,
NOSE CONDITION,9012,,,
BILATEARL TINNITUS,3140,,,
TEMPORARY TOTAL DISABILITY,8925,,,
MYOCARDIAL INFARCTION,8979,,,
INCREASE FOR BACK CONDITION,8998,,,
L FOOT CONDITION,8994,,,
BROKEN JAW,8967,,,
HYPOTHYROID,8973,,,
CHRONIC ANXIETY,8989,,,
NEUROBEHAVIORAL EFFECTS,8989,,,
RIGHT INDEX FINGER,8995,,,
ACUTE SINUSITIS,9012,,,
"PERIPHERAL NEUROPATHY,",9006,,,
TINNITUS-SC,3140,,,
EUSTACHIAN TUBE DYSFUNCTION,8969,,,
URINARY FREQUENCY,8975,,,
DEPRESSED MOOD,8989,,,
PLANTAR FASCIITIS BILATERAL,8994,,,
RIGHT HIP REPLACEMENT,8996,,,
BILATERAL WRIST,9004,,,
"ARTHRITIS,",8992,,,
RIGHT KNEE CONDITION INCREASE,8997,,,
BONE CANCER,8940,,,
INSOMINA,8989,,,
NIGHT TERRORS,8989,,,
BAD KNEES,8997,,,
HEARING LOSS BI-LATERAL,3140,,,
CHRONIC CONSTIPATION,8968,,,
KIDNEY STONE,8975,,,
FEET PROBLEMS,8994,,,
PLANTAR FACIITIS,8994,,,
THORACOLUMBAR SPINE CONDITION,8998,,,
RT SHOULDER INJURY,9002,,,
BILATERAL HAERING LOSS,3140,,,
"GASTROINTESTINAL CONDITION,",8968,,,
LUMBAR SPINE INCREASE,8998,,,
ESOPHAGEAL CANCER,8932,,,
ANGINA,8979,,,
SLEEP INSOMNIA,8989,,,
PLANTAR FASCIITIS LEFT FOOT,8994,,,
LEFT HIP REPLACEMENT,8996,,,
(R) KNEE CONDITION,8997,,,
LEFT KNEE OSTEOARTHRITIS,8997,,,
RIGHT KNEE PROBLEMS,8997,,,
CHRONIC RIGHT SHOULDER PAIN,9002,,,
BILATERAL PERIPHERAL NEUROPATHY,9006,,,
ALLERGIC RHINITIS/SINUSITIS,9012,,,
LOSS OF CREATIVE ORGAN,9018,,,
BI-LATERAL HEARING,3140,,,
HEARING LOSE,3140,,,
INCREASE LOWER BACK CONDITION,8998,,,
TINNITUS-,3140,,,
HEARING LOSS IN LEFT EAR,3140,,,
RIGHT EAR TINNITUS,3140,,,
RINGING OF EARS,3140,,,
TINNIUS,3140,,,
ERECTILE DYSFUNCTION SECONDARY TO PTSD,8975,,,
DRUG ABUSE,8989,,,
ARTHRITIS IN BACK,8992,,,
AID AND ATTENDANCE FOR SPOUSE,9017,,,
HEARING LOSS AS DUE TO ACOUSTIC TRAUMA (BILATERAL),3140,,,
SC FOR SLEEP APNEA,9012,,,
PROSTATE CANCER RESIDUALS,8935,,,
RIGHT KNEE (PFS),8997,,,
SINUS ISSUES,9012,,,
HIGH BLOOD PRESSURE INITIAL,8979,,,
LEFT KNEE CONDITION INCREASE,8997,,,
LEFTKNEE,8997,,,
RIGHTKNEE,8997,,,
MENTAL DISORDERS,8989,,,
LEFT AND RIGHT KNEE,8997,,,
THORACOLUMBAR STRAIN,8998,,,
PULMONARY EMBOLISM,9012,,,
HEAD,9020,,,
AID + ATTENDANCE,9017,,,
BACK CONDITION INITIAL,8998,,,
CHRONIC OBSTRUCTIVE PULMONARY,9012,,,
DIABETES-INCREASE,8973,,,
INC HEARING LOSS,3140,,,
PROSTATE CANCER DUE TO AGENT,8935,,,
SLEEP APNEA NEW,9012,,,
TINNITUS BEGAN IN SERVICE NOT,3140,,,
HYPERTENSION.,8979,,,
R HIP,8996,,,
"KNEE CONDITION, BILATERAL",8997,,,
CERVICAL NECK CONDITION,8999,,,
PERMANENT AND TOTAL,9017,,,
BILATERAL HEARING LOSS REOPEN,3140,,,
GERD INCREASE,8968,,,
"HEMORRHOIDS,",8968,,,
R WRIST CONDITION,9004,,,
HEARING LOSS RT EAR,3140,,,
HIP REPLACEMENT,8996,,,
RESIDUALS OF LEFT KNEE INJURY,8997,,,
DEGENERATIVE ARTHRITIS OF THE SPINE,8998,,,
LEFT SHOULDER COND,9002,,,
DEPRESSION INCREASE,8989,,,
HEARING LOSS AND,3140,,,
DENTAL ISSUES,8967,,,
CIRRHOSIS OF THE LIVER,8968,,,
BOTH LEGS,8997,,,
RESPIRATORY CONDITIONS,9012,,,
CPAP SECONDARY TO POST,9012,,,
LEFT SHOULDER (INCREASE),9002,,,
TINNITUS - REOPEN,3140,,,
BILATERAL TINITUS,3140,,,
STOMACH PAIN,8968,,,
ADJUSTMENT DISORDER WITH DEPRESSED MOOD,8989,,,
MIDDLE BACK,8998,,,
SLEEP APNEA WITH CPAP MACHINE,9012,,,
DEPPRESSION,8989,,,
PROSTATE ISSUES,8975,,,
MENTAL HEALTH DISORDER,8989,,,
DEGENERATIVE DISC DISEASE LUMBAR SPINE,8998,,,
NECK COND,8999,,,
SHOULDER RIGHT,9002,,,
POST CONCUSSION SYNDROME,9020,,,
BILATERAL TINNITUS DUE TO,3140,,,
HEARING LOSS DUE TO,3140,,,
INCREASE FOR LEFT KNEE,8997,,,
INCREASE LUMBOSACRAL STRAIN,8998,,,
KNEES BOTH,8997,,,
B/L SHOULDER CONDITION,9002,,,
CARPEL TUNNEL,9006,,,
SINUSITIS/RHINITIS,9012,,,
ATHLETES FOOT,9016,,,
"NECK CONDITION,",8999,,,
SERVICE CONNECTION FOR SLEEP APNEA,9012,,,
"TINNITUS, RECURRENT",3140,,,
LEFT EAR CONDITION,3140,,,
RINGING IN THE EAR,3140,,,
PERIPHERAL ARTERY DISEASE,8979,,,
"SHOULDER CONDITION, RIGHT",9002,,,
NSC PENSION,9008,,,
BI-LATERAL HEARING LOSS (INCREASE),3140,,,
HEARING LOSS - INITIAL,3140,,,
TBI (INCREASE),9020,,,
"TINNITUS, SEE DBQ 21-0960N-5",3140,,,
SPONDYLOSIS,8998,,,
CHRONIC JOINT PAIN,9001,,,
(R) SHOULDER,9002,,,
JUNGLE ROT,9016,,,
AID ATTENDANCE,9017,,,
BL HEARING LOSS & TINNITUS,3140,,,
TINNITUS-IN SERVICE,3140,,,
ANGER MANAGEMENT,8989,,,
NIGHT MARES,8989,,,
BI LATERAL KNEE CONDITION,8997,,,
CERVICAL INJURY,8999,,,
ADJUSTMENT DISORDER WITH,8989,,,
ASTHMA INCREASE,9012,,,
TINNITUS (VA FAST LTR 10-35),3140,,,
UNDIAGNOSED ILLNESS,8925,,,
RIGHT INGUINAL HERNIA,8968,,,
ERECTILE DYSFUNCTION SECONDARY TO PROSTATE CANCER,8975,,,
GALL BLADDER,8975,,,
OBSESSIVE COMPULSIVE DISORDER,8989,,,
MRSA,9016,,,
SLEEP APNEA INITIAL,9012,,,
RADICULOPATHY RIGHT LOWER EXTREMITY,8929,,,
URINARY TRACT INFECTION,8975,,,
EATING DISORDER,8989,,,
PLANTAR FASCIITIS RIGHT FOOT,8994,,,
RIGHT HAND FRACTURE,8995,,,
SPINAL CONDITION,8998,,,
CERVICAL PAIN,8999,,,
BELLS PALSY,9006,,,
SEASONAL ALLERGIES,9012,,,
CONTACT DERMATITIS,9016,,,
ANXITY,8989,,,
BILAT TINNITUS,3140,,,
"BILATERAL HEARING LOSS, SEE DBQ 21-0960N-5",3140,,,
HEARING LOSS-SC,3140,,,
SC HEADACHES,9007,,,
L EAR HEARING LOSS,3140,,,
LEFT SHOULDER SURGERY,8925,,,
DIABETES 2,8973,,,
CATARACT,8974,,,
BILATERAL ELBOW PAIN,8993,,,
B/L PES PLANUS,8994,,,
RIGHT KNEE OSTEOARTHRITIS,8997,,,
BL TINNITUS (ACOUSTIC TRAUMA),3140,,,
INCREASE IMPAIRED HEARING,3140,,,
INCREASE TBI,9020,,,
MIGRAINE HEADACHES (INCREASE),9007,,,
PERIPHERAL NEUROPATHY UPPER,9006,,,
TINNITUS SERVICE CONNECTED,3140,,,
BILATEAL HEARING LOSS,3140,,,
HEARING BILATERAL,3140,,,
UNEMPLOYABLE,6990,,,
BORDERLINE PERSONALITY DISORDER,8925,,,
DIZZY SPELLS,8969,,,
CHEST CONDITION,9005,,,
PARALYSIS OF SCIATIC NERVE,9006,,,
HOUSEBOUND,9017,,,
BACK-INCREASE,8998,,,
REOPEN BACK CONDITION,8998,,,
SERVICE CONNECTED TINNITUS,3140,,,
SEXUAL DYSFUNCTION,8975,,,
VOIDING DYSFUNCTION,8975,,,
FIBROIDS,8978,,,
(NEW) BILATERAL HEARING LOSS,3140,,,
HEARING IMPAIRMENT.,3140,,,
HEARING LOSS (IN SERVICE),3140,,,
SC BACK CONDITION,8998,,,
SERVICE CONNECTION FOR TINNITUS AS DUE TO ACOUSTIC TRAUMA,3140,,,
DM,8973,,,
LEGALLY BLIND,8974,,,
HYPERSOMNIA,8976,,,
WEIGHT LOSS,8986,,,
CHRONIC LOWER BACK CONDITION,8998,,,
PSEUDO FOLLICULITIS BARBAE,9016,,,
L ANKLE SPRAIN,8991,,,
SLEEP APNEA - NEW,9012,,,
TINNITUS B/L,3140,,,
TINNITUS DUE TO ACOUSTIC,3140,,,
STOMACH CANCER,8932,,,
POOR VISION,8974,,,
B/L FLAT FEET,8994,,,
GENITAL WARTS,9016,,,
ENTITLEMENT TO SERVICE CONNECTION FOR HYPERTENSION.,8979,,,
ERECTILE DYSFUNCTION SECONDARY TO,8975,,,
"HEARING IMPAIRMENT,",3140,,,
S/C HYPERTENSION,8979,,,
EAR CONDITION,3140,,,
RETINOPATHY,8974,,,
LEFT THUMB CONDITION,8995,,,
BILATERAL LEG PAIN,8997,,,
DEPRESSION SECONDARY,8989,,,
GERD (INCREASE),8968,,,
HEARING LOSS/BEGAN IN SERVICE/NOT TREATED,3140,,,
MIGRAINES-INCREASE,9007,,,
IRRITABILITY,8925,,,
BILATERAL FOOT CONDITIONS,8994,,,
LEFT KNEE (PFS),8997,,,
OSTEOPENIA,9001,,,
RIGHT SHOULDER ARTHRITIS,9002,,,
HEARING LOSS NEW,3140,,,
LOWERBACK,8998,,,
PEPTIC ULCER,8968,,,
ED SECONDARY TO PROSTATE CANCER,8975,,,
KNEE PAIN BILATERAL,8997,,,
LUMBAR BACK,8998,,,
LT SHOULDER CONDITION,9002,,,
BILATERAL LOWER EXTREMITY,9006,,,
BACKPAIN,8998,,,
R SHOULDER INJURY,9002,,,
PRESBYOPIA,8974,,,
ALCOHOL DEPENDENCY,8989,,,
DEPRESSION CONDITION,8989,,,
LEFT AND RIGHT KNEES,8997,,,
JOINT PAINS,9005,,,
INC BILATERAL HEARING LOSS,3140,,,
RIGHT ANKLE (INCREASE),8991,,,
SERVICE CONNECTION FOR HEARING LOSS AS DUE TO ACOUSTIC TRAUMA,3140,,,
ALCOHOL DEPENDENCE,8989,,,
BILATERAL FOOT FUNGUS,8994,,,
PES PLANUS BILATERAL,8994,,,
LUMBAR BACK PAIN,8998,,,
NEUROPATHY UPPER EXTREMITIES,9006,,,
ARTHRITUS,8992,,,
B PES PLANUS,8994,,,
BL HEARING LOSS DUE TO ACOUSTIC TRAUMA,3140,,,
DISC DISEASE,8998,,,
ENTITLEMENT TO AN INCREASE FOR 6100 HEARING LOSS,3140,,,
HEARING LOSS/BEGAN IN SERVICE,3140,,,
HIGHBLOOD PRESSURE,8979,,,
"IBS,",8968,,,
LUMBAR/LOWER BACK,8998,,,
NEW S/C DIS TINNITUS,3140,,,
ROSC BILATERAL HEARING LOSS,3140,,,
FLASHBACKS,8989,,,
BILATERAL ELBOWS,8993,,,
RIGHT HIP STRAIN,8996,,,
LEFT SHOULDER IMPINGEMENT,9002,,,
RASHES,9016,,,
HEARING LOSS-RIGHT EAR,3140,,,
TINNITUS DUE TO,3140,,,
BRAIN CANCER,8942,,,
ATRIAL FIBRILATION,8979,,,
OPEN HEART SURGERY,8979,,,
ATTENTION DEFICIT DISORDER,8989,,,
"BACK, LUMBAR",8998,,,
L SHOULDER PAIN,9002,,,
NOSE,9012,,,
PULMONARY HYPERTENSION,9012,,,
HEARING LOSS DUE TO MOS,3140,,,
HEARING LOSS FAST LETTER,3140,,,
LOWER EXTREMITY NEUROPATHY,8925,,,
GLACOMA,8974,,,
HALLUX VALGUS,8994,,,
SLEEP APNEA CPAP,9012,,,
INCREASE TINNITUS,3140,,,
URINARY CONDITION,8975,,,
HEART COND,8979,,,
CLAUSTROPHOBIA,8989,,,
BILATERAL FEET PAIN,8994,,,
RIGHT THUMB INJURY,8995,,,
(L) KNEE CONDITION,8997,,,
CHRONIC LOW BACK CONDITION,8998,,,
NECK CONDITIONS,8999,,,
CHRONIC LEFT SHOULDER PAIN,9002,,,
SHAVING BUMPS,9016,,,
NEUROPATHY SECONDARY TO DIABETES,9006,,,
SEIZURE,9007,,,
BILATERAL HEARING LOSS (VA FAST LTR 10-35),3140,,,
FEET INCREASE,8994,,,
HEADACHES (INCREASE),9007,,,
INCREASE DEPRESSION,8989,,,
NEW HEARING LOSS,3140,,,
BARRETT'S ESOPHAGUS,8968,,,
CROHNS DISEASE,8968,,,
MALE ERECTILE DYSFUNCTION,8975,,,
HEART SURGERY,8979,,,
RADICULOPATHY LEFT LOWER EXTREMITY,8988,,,
RIGHT SHOULDER SURGERY,9002,,,
B/L HIP COND,8996,,,
DEPRESSION-INITIAL,8989,,,
INCREASE LUMBAR STRAIN,8998,,,
MENTAL HEALTH CONDITION TO,8989,,,
TINNITUS/BEGAN IN SERVICE/NOT TREATED,3140,,,
HEARING LOSS / TINNITUS,3140,,,
CUBITAL TUNNEL SYNDROME,8929,,,
OVARIAN CYSTS,8951,,,
ED SECONDARY TO PTSD,8975,,,
BLOOD DISORDER,8981,,,
COGNITIVE DISORDER,8989,,,
LOW BACK PAINS,8998,,,
HYPERTENSION - INCREASE,8979,,,
L HIP CONDITION,8996,,,
SLEEP IMPAIRMENT/DISORDER,8989,,,
RIGHT HEARING LOSS,3140,,,
DENTAL INJURY,8967,,,
SEVERE BACK PAIN,8998,,,
SHOULDER LEFT,9002,,,
NUMBNESS,9006,,,
HYPERTENSION (NEW),8979,,,
PERIPHERAL NEUROPATHY RIGHT,9006,,,
TINNITS,3140,,,
DIABETES.,8973,,,
DEPRESSION.,8989,,,
LEFT INDEX FINGER,8995,,,
RESIDUALS OF RIGHT KNEE INJURY,8997,,,
PERIPHERAL NEUROPATHY LEFT UPPER EXTREMITY,9006,,,
ACUTE BRONCHITIS,9012,,,
"LUMBAR SPINE,",8998,,,
MENTAL CONDITION TO INCLUDE,8989,,,
ROSC TINNITUS,3140,,,
RECURRENT TINNITUS,3140,,,
CHEMICAL EXPOSURE,8925,,,
IRRITABLE BOWL SYNDROME,8968,,,
DEEP VEIN THROMBOSIS,8979,,,
BILATERAL FOOT INJURY,8994,,,
NOSE BLEEDS,9012,,,
"HEARING LOSS, TINNITUS",3140,,,
TINNITUS SC,3140,,,
HEARING LOSS IN RIGHT EAR,3140,,,
FINGER,8925,,,
RECTAL BLEEDING,8968,,,
BILATERAL EYES,8974,,,
LEFT HIP STRAIN,8996,,,
(NEW) TINNITUS,3140,,,
BILATERAL EHARING LOSS,3140,,,
HEAT STROKE,8925,,,
LACK OF SLEEP,8925,,,
GASTROINTESTINAL,8968,,,
IRRITABLE BOWEL SYNDROME (IBS),8968,,,
END STAGE RENAL DISEASE,8975,,,
LOWER LUMBAR,8998,,,
ED SECONDARY TO DMII,8975,,,
ENTITLEMENT TO SERVICE CONNECTION FOR BILATERAL KNEE CONDITION.,8997,,,
HEARING LOSS (ACOUSTIC TRAUMA),3140,,,
HEARING LOSS (REOPEN),3140,,,
TINNITUS (BEGAN IN SERVICE AND STILL EXISTS TODAY),3140,,,
TINNITUS (RECONSIDERATION),3140,,,
TINNITUS S/C,3140,,,
EARLIER EFFECTIVE DATE,8925,,,
NAUSEA,8968,,,
RT FOOT CONDITION,8994,,,
LOWER BACK CHRONIC PAIN,8998,,,
HYPERHIDROSIS,9016,,,
B/ KNEE CONDITION,8997,,,
RE-OPEN HEARING LOSS,3140,,,
BILATERAL HEAIRNG LOSS,3140,,,
JAW,8925,,,
TYPE 2 DIABETES MELLITUS,8973,,,
DRUG ADDICTION,8989,,,
BOTH HANDS,8995,,,
RIGHT KNEE ISSUES,8997,,,
WRIST CONDITION,9004,,,
MS,9007,,,
BRAIN INJURY,9020,,,
HEARING LOSS SC,3140,,,
"HEARING LOSS, LEFT EAR DUE TO ACOUSTIC TRAUMA",3140,,,
INDIVIDUAL UNEMPLOYABILITY-NEW,6990,,,
LOWER BACK-INCREASE,8998,,,
SC TBI,9020,,,
"SKIN CONDITION,",9016,,,
HIGH FREQUENCY HEARING LOSS,3140,,,
GASTROESOPHAGEAL REFLUX DISEASE (GERD),8968,,,
ADJUSTMENT DISORDER W/ANXIETY,8989,,,
LEFT HAND PAIN,8995,,,
PAIN IN BOTH KNEES,8997,,,
LOWER BACK PAIN CONDITION,8998,,,
LT SHOULDER,9002,,,
FACIAL SCARS,9014,,,
(ARTHRITIS),8992,,,
BILATERAL HEARING LOSS DUE TO ACOUSTIC,3140,,,
HEARING LOSS/BEGAN IN SER,3140,,,
INCREASE IN DIABETES,8973,,,
MIGRAINE HEADACHES INCREASE,9007,,,
NEW SLEEP APNEA,9012,,,
"SLEEP DISORDER,",8989,,,
TINNITUS-INITIAL,3140,,,
CLEAR AND UNMISTAKABLE ERROR,8925,,,
COLON CONDITION,8968,,,
HEMORRHOID,8968,,,
LUMBAR BACK INJURY,8998,,,
RESIDUALS OF BACK INJURY,8998,,,
ALLERGY,9012,,,
^SC HYPERTENSION,8979,,,
BI-LATERAL KNEE PAIN,8997,,,
"BILATERAL KNEES,",8997,,,
HEARING IMPAIRMENT (INCREASE),3140,,,
"HEARING LOSS, RIGHT EAR DUE TO ACOUSTIC TRAUMA",3140,,,
IR HEARING LOSS,3140,,,
"KNEES,",8997,,,
R HAND CONDITION,8995,,,
SC BILATERAL KNEE CONDITION,8997,,,
INDIVIDUAL UNEMPLOYABILTY,6990,,,
HELPLESS CHILD,8980,,,
LEFT LOWER EXTREMITY RADICULOPATHY,8997,,,
CARPAL TUNNEL RIGHT HAND,9006,,,
ACCOUSTIC TRAUMA,3140,,,
BACK CONDITION - INCREASE,8998,,,
"HEARING,",3140,,,
HYPERTENSION-NEW,8979,,,
TINNITUS (AU),3140,,,
CVA,8925,,,
BLADDER,8975,,,
LOSS OF SLEEP,8989,,,
MUSCLE AND JOINT PAIN,9005,,,
"DEGENERATIVE DISC DISEASE,",8998,,,
SECONDARY TO BACK,8998,,,
DYSPEPSIA,8968,,,
MENORRHAGIA,8978,,,
RESIDUALS OF STROKE,8979,,,
FALLEN ARCHES,8994,,,
LEFT KNEE ISSUES,8997,,,
RIGHT KNEE DISABILITY,8997,,,
NEUROPATHY BOTH FEET,9006,,,
SLEEP APNEA CONDITION,9012,,,
CORONARY ARTERY DISEASE (INCREASE),8979,,,
DEPRESSION (INCREASE),8989,,,
INDIVIDUAL UNEMPLOYABILITY DUE TO,6990,,,
LEFT ANKLE (INCREASE),8991,,,
"RIGHT ANKLE,",8991,,,
SC RIGHT KNEE CONDITION,8997,,,
TINNITUS- ADD MIL NOISE,3140,,,
RIGHT EAR CONDITION,8969,,,
BENIGN PROSTATIC HYPERTROPHY,8975,,,
B/L SHIN SPLINTS,8997,,,
PATELLOFEMORAL PAIN SYNDROME,8997,,,
BACK CONDITION.,8998,,,
SPINAL INJURY,8998,,,
TENDINITIS,9005,,,
VITILIGO,9016,,,
ASTHMA (INCREASE),9012,,,
HEARING LOSS-TINNITUS,3140,,,
INCREASE SC HEARING LOSS,3140,,,
KNEE CONDITION B,8997,,,
S/C LEFT KNEE CONDITION,8997,,,
SC^ HEARING LOSS,3140,,,
SC-TINNITUS,3140,,,
THORACIC SPINE COND,8998,,,
BPH,8925,,,
LUMBAR PAIN,8998,,,
LEFT SHOULDER ARTHRITIS,9002,,,
WRIST PAIN,9004,,,
MUSCLE WEAKNESS,9005,,,
